MaCK,SanCK,GiaHienTai,GiaSoSach,P/B,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,,
BED,HASTC,40.2000,0,286529%,40.20,24.11,2.22,18.1,1165%,1582%,0.08,3000000,3000000,0,1470000,120600002,77884,0,42076,15064,57140,CTCP Sách và Thiết bị Trường học Đà Nẵng,Danang Books & School Equipment JSC,Tầng 6 tòa nhà Trung tâm hành chính - Số 24 Trần Phú - P. Thạch Thang - Q. Hải Châu - Tp.Đà Nẵng,(84.236) 389 3705 - 382 1755,+84-(0)511-383.49.18,http://danangbook.com/,,,,,
BEL,HASTC,12.6000,0,115490%,16.70,8.97,0.88,14.3,698%,805%,0.41,6000000,6000000,0,2940000,75600002,27738,0,65441,10022,75463,CTCP Điện tử Biên Hòa,Viettronics Bien Hoa Joint Stock Company,52-54 Nguyễn Huệ - P. Bến Nghé - Q. 1 - Tp. HCM,(84.28) 3829 6017 - 3925 3352,(028) 382202086,http://www.belco.vn,,,,,
BGW,HASTC,18.0000,0,170455%,26.43,18.00,0.53,34.0,452%,505%,-0.06,18149446,18149446,0,0,326690028,148889,0,191687,22595,214282,CTCP Nước sạch Bắc Giang,Bac Giang Clean Water Joint Stock Company,Số 386 - Đường Xương Giang - P. Ngô Quyền - Tp. Bắc Giang - T. Bắc Giang,(84.204) 385 5757,(84-204) 355 4717,http://bacgiangwsc.com.vn/,,,,,
BHA,HASTC,10.3000,0,102386%,13.50,8.00,1.28,8.0,467%,1270%,0.76,66000000,66000000,0,0,679800013,314705,0,664066,1140329,1804395,CTCP Thủy điện Bắc Hà,Bac Ha Hydropower Joint Stock Company,Thôn Lùng Xa - X. Cốc Ly - H. Bắc Hà - T. Lào Cai,(84.214) 629 4668,0214 626 8606,www.thuydienbachalaocai.com.vn,,,,,
BHC,HASTC,2.2000,0,N/A,4.30,2.30,0.24,9.2,215%,-139%,0.76,4500000,4500000,0,2193600,9900000,192529,0,-78768,129699,50931,CTCP Bê tông Biên Hòa,Bienhoa Concrete Joint Stock Company,Đường 1A - KCN Biên Hòa 1 - P. An Bình - Tp. Biên Hòa - T. Đồng Nai,(84.251) 383 6196,+84-(0)61-383.63.23,http://www.betongbienhoa.com.vn,,,,,
BHG,HASTC,10.2000,0,42289%,12.03,10.20,0.16,63.8,42%,68%,0.29,3856665,3856665,0,0,39337982,26971,0,93011,58848,151858,CTCP Chè Biển Hồ,Bien Ho Tea Joint Stock Company,Thôn 5 - Xã Nghĩa Hưng - H. Chư Păh - T. Gia Lai,,,http://bienhotea.com.vn/,,,,,
BHK,HASTC,10.5000,0,79727%,14.70,9.70,1.47,7.1,723%,1114%,0.94,3986000,3986000,0,0,41853000,0,0,48724,59590,108314,CTCP Bia Hà Nội - Kim Bài,Hanoi Kimbai Beer JSC,Số 40 - Thị trấn Kim Bài - Thanh Oai - Tp. Hà Nội,(0433) 873 036,(024) 33871006,http://www.hkbeco.vn,,,,,
BHP,HASTC,6.2000,0,36557%,9.50,4.50,0.29,21.4,122%,172%,2.91,9179290,9179290,0,4497852,56911596,301508,11950,155653,63090,218743,CTCP Bia Hà Nội - Hải Phòng,Ha Noi - Hai Phong Beer JSC,16 Lạch Tray - P.Lạch Tray - Q.Ngô Quyền - Tp.Hải Phòng,(84.225) 384 7004,+84-(0)31-384.51.57,http://biahaiphong.vn/,,,,,
BHT,HASTC,13.5000,0,N/A,11.80,5.20,-1.46,-9.2,-417%,3078%,0.73,4600000,4565000,0,2254000,61627500,218,0,-21821,182745,160924,CTCP Đầu tư Xây dựng Bạch Đằng TMC,Bach Dang TMC Construction Investment JSC,Số 99 - Ngụy Như Kon Tum - P. Nhân Chính - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 6286 5483,024 628.659.87,http://www.bachdangtmc.com,,,,,
BII,HASTC,8.6000,0,87045%,11.20,0.60,1.57,5.5,863%,1589%,3.11,57680000,57680000,0,28263200,496048022,97133,90537,569811,479086,1048897,CTCP Đầu tư và Phát triển Công nghiệp Bảo Thư,Bao Thu Industrial Development and Investment JSC,Khu phố 11 - P.Bình Tân - TX.Lagi - T.Bình Thuận,(84.252) 387 0935,062 3871 935,http://bidico.com.vn,,,,,
BIO,HASTC,69.8000,0,643318%,160.17,9.45,0.60,116.3,490%,548%,1.70,8562000,8562000,0,0,597627626,0,0,92923,11043,103966,CTCP Vắc xin và Sinh phẩm Nha Trang,Nha Trang Vaccines And Biological Products JSC,Số 26 - Hàn Thuyên - P. Xuân Huân - Tp.Nha Trang - Khánh Hòa,(84.5) 8381 3067,(0258) 3828 135,http://www.biopharco2.com.vn,,,,,
BKC,HASTC,5.2000,0,49904%,7.10,4.60,-3.18,-1.6,-967%,-3052%,1.02,11345328,11541528,196200,5751486,60015943,206047,0,118178,254775,372953,CTCP khoáng sản Bắc Kạn,Bac Kan Mineral Joint Stock Corporation,Tổ 4 - P.Đức Xuân - TP.Bắc Kạn - T.Bắc Kạn,(84.209) 381 3289,02093 871 837,https://backanco.com/,,,,,
BKH,HASTC,21.3000,0,76208%,43.24,21.30,2.66,8.0,605%,950%,1.43,1750000,1750000,0,0,37274999,0,0,48916,27887,76803,CTCP Bánh mứt kẹo Hà Nội,Ha Noi Confectionery Joint Stock Company,Số 54A - Phố Bà Triệu - P. Hàng Bài - Q. Hoàn Kiếm - Tp. Hà Nội,(84.24) 38350006,,http://www.hanobaco.com.vn,,,,,
BLF,HASTC,3.2000,0,23599%,4.20,2.80,-0.48,-6.7,-106%,-356%,0.14,11500000,11500000,0,5145000,36800001,474251,0,155983,367757,523740,CTCP Thủy sản Bạc Liêu,Bac Lieu Fisheries Joint Stock Company,89 Quốc lộ 1A - Khóm 2 - P. 1 - Thị xã Giá Rai - T. Bạc Liêu,(84.291) 384 9567,+84-(0)781-384.97.06,http://www.baclieu-vegetables.vn,,,,,
BLI,HASTC,12.9000,0,118785%,14.89,5.86,0.99,13.0,311%,912%,1.55,68800000,68800000,0,24489645,887519974,1367729,68118,747277,1440542,2187819,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bao Long Insurance Corporation,Số 185 Điện Biên Phủ - P. Đakao - Q. 1 - Tp. Hồ Chí Minh,(84.28) 3823 9219,028 38 228 967,http://baohiembaolong.vn,,,,,
BLN,HASTC,12.5000,0,115101%,12.50,1.60,0.06,208.3,13%,52%,0.71,5000000,5000000,0,0,62500000,0,0,54308,165471,219779,CTCP Vận tải và Dịch vụ Liên Ninh,Lien Ninh Transport and Service JSC,Km 15+200 - Quốc lộ 1a - Thôn Yên Phú - X.Liên Ninh - H.Thanh Trì - Tp.Hà Nội,(84.43) 686 6506,(84.43) 686 6507,,,,,,
BLT,HASTC,25.0000,0,60038%,26.90,14.65,0.00,0.0,8%,10%,0.32,4000000,4000000,0,0,100000000,0,0,166575,27358,193933,CTCP Lương thực Bình Định,Binh Dinh Food Joint Stock Company,557-559 Đường Trần Hưng Đạo - Tp. Quy Nhơn - T. Bình Định,(84.256) 382 2456,056 3822 242,http://www.bidifood.vn,,,,,
BLU,HASTC,10.0000,0,N/A,10.00,10.00,,0.0,0%,0%,0.00,1337600,1337600,0,0,13376000,0,0,,,,Trung tâm Dịch vụ Đô thị tỉnh Bạc Liêu,Bac Lieu Urban Service Center,41 Hai Bà Trưng - Khóm 2 - P. 3 - Tp. Bạc Liêu - T. Bạc Liêu,(84.291) 3825 721,,,,,,,
BLW,HASTC,17.1000,0,157025%,17.10,17.05,0.79,21.6,678%,725%,-0.24,11168800,11168800,0,0,190986484,57849,8749,121655,8438,130092,CTCP Cấp nước Bạc Liêu,BacLieu Water Supply JSC,Số 92 - Lê Duẩn - p.1 - Bạc Liêu,(84.291) 3827 777,,http://capnuocbaclieu.com.vn/,,,,,
BMD,HASTC,5.0000,0,37202%,10.80,5.00,2.68,1.9,760%,1996%,0.58,2753280,2753280,0,0,13766400,34495,1096,32705,53248,85953,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Binh Thuan Environmental Urban Service Joint Sotck Company,Số 578 Trần Hưng Đạo - P. Đức Long - Tp. Phan Thiết - T. Bình Thuận,(84.252) 381 9572,0623 819 572,,,,,,
BMF,HASTC,20.2000,0,63823%,27.70,14.30,4.14,4.9,954%,1308%,1.63,4159600,4159600,0,0,84023923,1042493,6734,118799,51284,170083,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,Dong Nai Building Material and Fuel JSC,Số 255B - Đường Phạm Văn Thuận - P. Tân Mai - Tp. Biên Hòa - T. Đồng Nai,0251. 3819431,0251 3822 014,http://chatdotdongnai.com/,,,,,
BMG,HASTC,26.5000,0,148626%,26.50,23.66,2.51,10.6,793%,1409%,-0.17,5292000,5292000,0,0,140238000,220725,0,94371,73402,167773,CTCP May Bình Minh,Binh Minh Garment Joint Stock Company,440 Nơ Trang Long - Q. Bình Thạnh - Tp. Hồ Chí Minh,(84.28) 3553 3358,,http://www.bmig.com.vn/,,,,,
BMJ,HASTC,12.9000,0,77899%,22.00,7.33,3.60,3.6,1341%,2176%,0.99,6000000,6000000,0,2933900,77399998,68313,1527,99338,61876,161215,CTCP Khoáng sản Miền Đông AHP,Easterns AHP Minerals Joint Stock Company,Số 112/125 Ấp Tân Thịnh - X.An Bình - H.Phú Giáo - Bình Dương,(84.274) 368 8126,0650 3688 125,http://becamexbmj.com.vn,,,,,
BMN,HASTC,15.8000,0,144821%,15.80,5.00,1.60,9.9,507%,1467%,0.26,2750000,2750000,0,1347500,43450001,47578,-127,29798,44559,74357,CTCP 715,715 Joint Stock Company,Số 404A - Ấp Tân Vĩnh Thuận - X. Tân Ngãi - Tp. Vĩnh Long - T. Vĩnh Long,(84.270) 381 6353,(84-70) 3815273,http://congty715.com.vn,,,,,
BMS,HASTC,12.7000,0,97843%,15.50,3.50,1.81,7.0,1353%,1394%,2.35,50000000,50000000,0,0,634999990,486394,100660,648865,19605,668469,CTCP Chứng khoán Bảo Minh,Bao Minh Securities Company,Lầu 3 - Tòa nhà PaxSky - Số 34A Phạm Ngọc Thạch - P.6 - Q.3 - TP.HCM,(84.28) 7306 8686,028 3824 7436,http://www.bmsc.com.vn,,,,,
BMV,HASTC,6.0000,0,58939%,10.00,5.50,0.14,42.9,92%,139%,0.73,24200000,24200000,0,0,145200000,638019,0,246293,126875,373168,CTCP Bột mỳ Vinafood 1,Vinafood 1 Flour Joint Stock Company,Số 94 Lương Yên - P. Bạch Đằng - Q. Hai Bà Trưng - Tp. Hà Nội,(84.24) 6278 2448,(84-4) 6278 2457,www.vnf1flour.com.vn,,,,,
BNA,HASTC,54.5000,0,263158%,59.90,21.70,6.30,8.7,1240%,3043%,0.46,8000000,8000000,0,0,436000000,938004,40098,165651,240654,406305,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,,,,,,,,,
BNW,HASTC,9.2000,0,82143%,9.22,8.05,0.92,10.0,553%,820%,-0.18,37549391,37549391,0,0,345454390,197995,0,420721,203558,624279,CTCP Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company,Số 57 đường Ngô Gia Tự - P. Thị Cầu - TP. Bắc Ninh - T. Bắc Ninh,(84.222) 3824 369,,https://nuocsachbacninh.vn/,,,,,
BOT,HASTC,48.9000,0,626923%,60.40,48.90,-1.92,-25.5,-630%,-2458%,0.46,48500000,48500000,0,0,2371650074,26559,0,378321,1096734,1475055,CTCP BOT Cầu Thái Hà,Thai Ha Bridge BOT Joint Stock Company,Thôn Phú Vật - X. Tiến Đức - H. Hưng Hà - T. Thái Bình,(84.24) 6266 9797,,http://botcauthaiha.com.vn/,,,,,
BPC,HASTC,9.5000,0,37051%,12.90,8.73,1.02,9.3,199%,398%,0.90,3800000,3800000,0,1862000,36100000,253376,0,97434,98050,195484,CTCP VICEM Bao bì Bỉm Sơn,Vicem Packaging Bim Son JSC,P.Lam Sơn - Tx.Bỉm Sơn - T.Thanh Hóa,(84.237) 382 5632,373825633,http://www.baobibimson.vn,,,,,
BPW,HASTC,22.5000,0,217181%,36.00,18.10,0.96,23.4,304%,922%,0.69,13203858,13203858,0,0,297086805,91185,0,136788,277956,414744,CTCP Cấp thoát nước Bình Phước,Binh Phuoc Water Supply Sewerage Joint Stock Company,Số 216 Đường Nguyễn Văn Linh - KP. Phú Tân - P. Tân Phú - TX.Đồng Xoài - T.Bình Phước,(0271) 388 7548,0271 388 7548,http://www.bpwaco.com.vn/,,,,,
BQB,HASTC,5.1000,0,60642%,8.20,4.00,-1.65,-3.1,-1720%,-1962%,1.23,5800000,5800000,0,0,29579999,27374,0,48769,6851,55619,CTCP Bia Hà Nội - Quảng Bình,Ha Noi - Quang Binh Beer JSC,Tổ dân phố 13 - P. Bắc Lý - Tp. Đồng Hới - Quảng Bình,(84-232) 3822 365,052 3840 721,https://biaquangbinh.com/,,,,,
BRL-X,HASTC,5.1998,0,N/A,5.87,4.91,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,USD/BRL (Brazilian Real),USD/BRL,,,,,,,,,
BRR,HASTC,15.5000,0,132933%,14.90,8.44,1005.00,0.0,7%,9%,1.57,112500000,112500000,0,0,1743750000,400445,0,1312306,220482,1532787,CTCP Cao su Bà Rịa,BaRia Rubber Joint Stock Company,Quốc lộ 56 - X. Bình Ba - H. Châu Đức - T. Bà Rịa - Vũng Tàu,(84.254) 388 1964 - 388 1978,(064) 3881169,www.baruco.com.vn,,,,,
BRS,HASTC,22.0000,0,157480%,23.00,11.72,3.26,6.7,1480%,2336%,0.17,4541950,4541950,0,0,99922900,64496,5407,63461,36688,100149,CTCP Dịch vụ Đô thị Bà Rịa,Ba Ria Urban Service JSC,Số 11 Huỳnh Ngọc Hay - P. Phước Hiệp - Tp. Bà Rịa - T. Bà Rịa Vũng Tàu,(84.254) 382 5422,(064) 3829801,http://www.dothibaria.com,,,,,
BSA,HASTC,13.8000,0,109091%,14.40,10.81,1.36,10.1,522%,1079%,0.47,60018942,60018942,0,0,828261411,342455,0,759023,808968,1567991,CTCP Thủy điện Buôn Đôn,Buon Don Hydropower JSC,Tầng 7 - Khách sạn Biệt Điện - Số 01 - Đường Ngô Quyền - P. Thắng Lợi - Tp. Buôn Ma Thuột - T. Đắk Lắk,(0262) 389 1368,02623 891 348,http://thuydienbuondon.vn/,,,,,
BSC,HASTC,14.4000,0,120401%,15.90,11.70,0.24,60.0,183%,197%,0.49,3150747,3150747,0,1543866,45370756,11069,910,37698,2844,40543,CTCP Dịch vụ Bến Thành,Ben Thanh Service Joint Stock Company,Số 390 Nguyễn Công Trứ - P.Cầu Ông Lãnh - Q.1 - TP.HCM,(84.28) 3914 0932 - 3914 0933,028 39.140934,http://www.btsc.com.vn,,,,,
BSD,HASTC,35.0000,0,170316%,35.00,25.76,4.11,8.5,619%,2002%,-0.17,3000000,3000000,0,0,105000000,0,0,61656,137605,199261,CTCP Bia, Rượu Sài Gòn - Đồng Xuân,Sai Gon - Dong Xuan Beer Alcohol JSC,Khu 6 - Thị trấn Thanh Ba - H. Thanh Ba - T. Phú Thọ,(84.210) 388 5604,0210 3885 605,www.saigondongxuan.com.vn,,,,
BSG,HASTC,9.7000,0,167820%,11.00,5.90,-0.13,-74.6,-120%,-226%,1.20,60000000,60000000,0,0,581999989,444859,0,346976,307268,654244,CTCP Xe khách Sài Gòn,Saigon Passenger Transport JSC,Số 39 đường Hải Thượng Lãn Ông - P. 10 - Q. 5 - Tp. HCM,(84.28) 3950 5505,028 38546127,http://www.saigonbus.com.vn/,,,,,
BSH,HASTC,19.5000,0,132114%,28.07,13.10,1.83,10.7,866%,1241%,0.39,18000000,18000000,0,0,351000000,592013,0,265649,114994,380643,CTCP Bia Sài Gòn - Hà Nội,Saigon - Hanoi Beer Coporation,A2 - CN8 Cụm công nghiệp Từ Liêm - P. Phương Canh - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 3765 3360,022 3765 3336,http://www.sabecohanoi.com.vn,,,,,
BSI,HASTC,20.4000,0,161137%,25.80,7.30,2.04,10.0,632%,1614%,1.85,122070078,122070078,0,42385000,2490229545,967645,249386,1545337,2400847,3946184,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,Bank for Invesment & Development of Vietnam Securities Company,Tầng 1 - Tầng 10 - Tầng 11 - Tháp BIDV - 35 Hàng Vôi - P. Lý Thái Tổ - Q. Hoàn Kiếm - Hà Nội,(84.24) 2220 0668,024 222.006.69,http://www.bsc.com.vn,,,,,
BSL,HASTC,8.6000,0,78972%,11.44,8.58,0.80,10.8,566%,732%,1.00,45000000,45000000,0,0,387000017,705221,0,489920,144137,634057,CTCP Bia Sài Gòn - Sông Lam,SaiGon-SongLam Beer Joint Stock Company,Khối 1 - X. Hưng Đạo - H. Hưng Nguyên - T. Nghệ An,(84.238) 358 7200,038 3587 226,http://sasobeco.com.vn/,,,,,
BSP,HASTC,18.2000,0,100943%,18.92,14.03,1.24,14.7,575%,689%,0.83,12500000,12500000,0,6125000,227500010,376414,0,225434,44709,270143,CTCP Bia Sài Gòn - Phú Thọ,Sai Gon - Phu Tho beer JSC,KCN Trung Hà - X. Dân Quyền -H. Tâm Nông - T. Phú Thọ,(84.210) 365 0688,(0210) 3650 686,www.saigonphutho.com.vn,,,,,
BSQ,HASTC,24.5000,0,153894%,26.00,18.00,3.12,7.9,1045%,1961%,0.78,45000000,45000000,0,0,1102500000,1210690,0,716213,627975,1344188,CTCP Bia Sài Gòn - Quảng Ngãi,Sai Gon - Quang Ngai Beer JSC,KCN Quảng Phú - TP. Quảng Ngãi - T. Quảng Ngãi,(84.255) 625.0905,055.625.0910,http://sabecoquangngai.com.vn/,,,,,
BSR,HASTC,17.2000,0,162111%,21.60,5.70,0.45,38.2,236%,422%,2.09,3100499616,3100499616,0,0,53328595761,61018040,1389630,32910836,26026165,58937000,CTCP Lọc hóa Dầu Bình Sơn,Binh Son Refining and Petrochemical Company Limited,Số 208 – Đại lộ Hùng Vương - Tp. Quảng Ngãi - T. Quảng Ngãi,(0255) 3825 825,(0255) 3825826,www.bsr.com.vn,,,,,
BST,HASTC,16.0000,0,132670%,18.30,10.19,1.60,10.0,1005%,1325%,0.69,1100000,1100000,0,539000,17600000,64245,0,13263,4228,17491,CTCP Sách và Thiết bị Bình Thuận,Binh Thuan Book And Equiptment JSC,Số 70 Nguyễn Văn Trỗi - P.Đức Thắng - Tp.Phan Thiết - T.Bình Thuận,(84.252) 381 6118,0623 816091,http://www.stbbt.com.vn,,,,,
BT1,HASTC,16.3000,0,82199%,19.77,10.75,2.11,7.7,582%,1062%,0.64,5250000,5250000,0,0,85574996,0,0,104127,86009,190136,CTCP Bảo vệ Thực vật 1 Trung Ương,Central Plant Protection JSC No.1,Số 145 - Phố Hồ Đắc Di - P. Quang Trung - Q. Đống Đa - Tp. Hà Nội,(84.24) 3857 2764,024 38572751,http://www.psc1.com,,,,,
BT6,HASTC,2.1000,0,N/A,2.60,0.80,-2.49,-0.8,-921%,36137%,1.00,32993550,32993550,0,16166840,69286452,53562,0,17187,892025,909212,CTCP Beton 6,Beton 6 Corporation,Km 1877 - Quốc lộ 1K - P. Bình An - Tx. Dĩ An - T. Bình Dương,(84.274) 375 1617,650.3751628,http://www.beton6.com,,,,,
BTB,HASTC,6.5000,0,44612%,7.50,4.40,0.10,65.0,30%,71%,1.01,7691226,7691226,0,0,49992969,139093,-1126,109780,193228,303009,CTCP Bia Hà Nội - Thái Bình,Ha Noi - Thai Binh Beer Joint Stock Company,Lô CN 1 - KCN TBS - Sông Trà - X. Tân Bình - Tp. Thái Bình - T. Thái Bình,(84.227) 249 1340,(84-362)491440,http://tbbeco.com.vn,,,,,
BTCUSD-X,HASTC,33833.8789,0,N/A,63503.46,9536.89,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,Bitcoin Price Index,Bitcoin Price Index,,,,,,,,,
BTD,HASTC,33.8000,0,79661%,36.00,18.20,6.16,5.5,510%,1453%,0.73,6414100,6414100,0,0,216796575,913018,39107,272130,503669,775800,CTCP Bê tông Ly tâm Thủ Đức,Thu Duc Centrifugal Concrete Joint Stock Company,356A Xa Lộ Hà Nội - P.Phước Long A - Q.9 - Tp.HCM,(84.28) 3731 3086,028 37 313 271,http://www.betongthuduc.com,,,,,
BTG,HASTC,5.8000,0,35561%,5.80,5.50,0.12,48.3,70%,72%,-0.22,1190000,1190000,0,583100,6902000,48674,-344,19378,627,20006,CTCP Bao bì Tiền Giang,Tien Giang Packaging Joint Stock Company,KP.Trung Lương - P.10 - Tp.Mỹ Tho - T.Tiền Giang,(84.273) 3855684,+84-(0)73-385.87.02,http://www.tigipack.com.vn,,,,,
BTH,HASTC,12.1000,0,216071%,17.90,2.50,0.30,40.3,517%,529%,0.95,46500000,46500000,0,1806,562650018,2666,0,260546,5940,266486,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company,Số 55 - Đường K2 - P. Cầu Diễn - Q.Nam Từ Liêm - Tp. Hà Nội,(84.24) 764 4795,024 7644 796,http://www.ctbt.vn,,,,,
BTN,HASTC,3.6000,0,35191%,5.80,2.40,-1.20,-3.0,-669%,-1175%,1.72,4465570,4465570,0,0,16076052,0,0,45676,34545,80222,CTCP Gạch Tuy Nen Bình Định,Binh Dinh Tunnel Brick JSC,Km 1215 - Quốc lộ 1A - X. Phước Lộc - H. Tuy Phước - T. Bình Định,(0256) 3832809 - (0256) 3832176,0256 3832 809,http://www.tuynenbinhdinh.com.vn/,,,,,
BTR,HASTC,9.8000,0,76984%,9.80,2.54,2.18,4.5,385%,1715%,0.36,1850000,1850000,0,906500,18130000,25996,0,23557,81514,105071,CTCP Đường sắt Bình Trị Thiên,Binh Tri Thien Railway Joint Stock Company,Số 18 đường Bảo Quốc - P. Phường Đúc - Tp. Huế - T. Thừa Thiên Huế,(84.234) 388 4100,2343833063,http://www.dsbinhtrithien.vn,,,,,
BTS,HASTC,5.9000,0,51754%,7.70,3.90,0.14,42.1,53%,126%,1.71,123559858,123559858,0,53437534,729003174,3057590,0,1409024,1968473,3377497,CTCP Xi măng VICEM Bút Sơn,Vicem But Son Cement JSC,X. Thanh Sơn - H. Kim Bảng - T. Hà Nam,(84.226) 385 1323,+84-(0)351-38.51.320,http://www.vicembutson.com.vn/,,,,,
BTU,HASTC,12.5000,0,85383%,13.52,6.08,2.25,5.6,1072%,1535%,0.80,3600000,3600000,0,1764000,45000000,38465,2002,52704,22769,75473,CTCP Công trình Đô thị Bến Tre,Bentre Urban Project Joint Stock Company,Số 26 Nguyễn Trung Trực - P.1 - Tp.Bến Tre,(84.275) 382 6358,(075) 3.817.770,http://congtrinhdothibentre.vn,,,,,
BTV,HASTC,26.3000,0,340233%,33.73,10.60,-1.46,-18.0,-1151%,-1887%,0.57,25000000,25000000,0,0,657499981,356144,0,193130,123413,316543,CTCP Dịch vụ Du lịch Bến Thành,BenThanh Tourist Service Corporation,Số 82 - 84 Calmette - P. Nguyễn Thái Bình - Q. 1 - TP. HCM,(84.28) 3822 7788,(84-8) 382 95060,http://www.benthanhtourist.com,,,,,
BTW,HASTC,32.4000,0,136192%,41.80,22.38,2.93,11.1,937%,1231%,0.61,9360000,9360000,0,2739600,303264014,433287,0,222650,70044,292694,CTCP Cấp nước Bến Thành,Ben Thanh Water Supply Joint Stock Company,Số 194 Pasteur - P. 6 - Q. 3 - Tp. Hồ Chí Minh,(84.28) 3829 7147 - 3827 2990,028 3822 9778,http://www.capnuocbenthanh.com,,,,,
BUD,HASTC,15.5000,0,117069%,22.77,4.00,1.97,7.9,626%,1486%,2.16,10000000,10000000,0,0,155000000,0,0,132373,181712,314086,CTCP Khoa học Công nghệ Việt Nam,Vietnam Science and Technology Joint Stock Company,Số 6 đường 3/2 - P. 8 - Tp. Vũng Tàu - T. Bà Rịa - Vũng Tàu,(84.254) 385 3125,0254 3511385,https://busadco.com/vi/,,,,,
BVB,HASTC,17.9000,0,141056%,26.00,9.40,0.77,23.2,40%,607%,2.39,317100000,317100000,0,0,5676089879,4291622,244105,4024644,57068762,61093406,Ngân hàng TMCP Bản Việt,Viet Capital Commercial Joint Stock Bank,Tòa nhà HM Town số 412 Nguyễn Thị Minh Khai - P. 05 - Q. 3, Tp HCM,(028) 6263 9639 - 1900 555 596,,http://vietcapitalbank.com.vn,,,,
BVG,HASTC,3.5000,0,48143%,7.90,1.20,-0.61,-5.7,-360%,-838%,2.95,9750948,9750948,0,4768964,34128318,189164,-13505,70913,94194,165107,CTCP GROUP BẮC VIỆT,BAC VIET GROUP JOINT STOCK COMPANY,Tầng 1 - Số SH01- Toàn nhà B - Khu đô thị mới Định Công - P. Định Công - Q. Hoàng Mai - Tp. Hà Nội,(84.24) 3877 0742,438773648,http://www.bacvietgroup.com,,,,,
BVL,HASTC,23.9000,0,N/A,43.10,21.30,,0.0,0%,0%,0.00,22000000,22000000,0,0,525799992,109207,944,268797,117284,386081,Công ty cổ phần BV Land,Công ty cổ phần BV Land,,,,,,,,,
BVN,HASTC,8.3000,0,82341%,20.60,6.10,-0.80,-10.4,-300%,-789%,0.93,5000000,5000000,0,2396800,41500001,0,0,50407,82151,132557,CTCP Bông Việt Nam,Vietnam Cotton JSC,69/1/3 Đường Nguyễn Gia Trí - P. 25 - Q. Bình Thạnh - Tp. HCM,(84.28) 3899 2667 - 3899 2668,028 38.99.28.61,http://www.bongvietnam.com.vn,,,,,
BVS,HASTC,26.5000,0,98513%,34.00,8.29,3.03,8.7,608%,1127%,2.16,72213737,72223837,10100,35394629,1913931680,697804,219039,1942804,1658227,3601031,CTCP Chứng khoán Bảo Việt,Baoviet Securities Company,Số 8 Lê Thái Tổ - Q.Hoàn Kiếm - Tp.Hà Nội,(84.24) 3928 8080,(+84)4 39289888,http://www.bvsc.com.vn/,,,,,
BWA,HASTC,10.5000,0,80092%,14.00,4.51,0.88,11.9,606%,672%,1.42,2700000,2700000,0,1319400,28350000,0,0,35404,3849,39253,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,Bao Loc Supply Sewerage And Construction JSC,Số 56 Lê Thị Pha - P. 1 - Tp. Bảo Lộc - T. Lâm Đồng,(84.263) 3864073,+84-(063)-371.16.08,http://www.capnuocbaoloc.com,,,,,
BWS,HASTC,34.5000,0,320632%,37.13,27.57,2575.00,0.0,22%,24%,0.52,90000000,90000000,0,0,3105000000,672161,0,968030,74823,1042853,CTCP Cấp nước Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau Water Supply Joint Stock Company,Số 14 - Đường 30/4 - P. 9 - Tp. Vũng Tàu - T. Bà Rịa-Vũng Tàu,(84.254) 383 8324,(0254) 3833 636,http://www.bwaco.com.vn,,,,,
BXH,HASTC,12.0000,0,101609%,15.85,10.83,0.73,16.4,268%,618%,0.35,4919665,4919665,0,1475899,59035980,212711,0,58120,75674,133794,CTCP VICEM Bao bì Hải Phòng,Hai Phong Cement Packing JSC,Số 3 Hà Nội - P.Sở Dầu - Q.Hồng Bàng - Tp.Hải Phòng,(84.225) 382 1832,+84-(0)31-354.02.72,http://hcpc.vn/website/home-page.aspx,,,,,
BXT,HASTC,10.6000,0,N/A,10.60,10.60,,0.0,0%,0%,0.00,63400,63400,0,0,672040,0,0,,,,Ban Quản lý và Điều hành Bến xe tàu,Hau Giang Bus and Boat Station Joint Stock Company,Đường Trần Hưng Đạo - Khu vực 3 - P. V - Tp. Vị Thanh - T. Hậu Giang,(84.293) 3877 448,,,,,,,
