MaCK,SanCK,GiaHienTai,GiaSoSach,PB,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,
SC5,HOSE,20.0000,0,83787%,26.60,17.50,2.53,7.9,168%,1059%,0.89,14984536,14984543,7,7342429,299690860,1884506,0,357627,1892456,2250084,CTCP Xây dựng Số 5,Construction JSC No 5,Số 137 Lê Quang Định - P.14 - Q.Bình Thạnh - Tp.HCM,(84.28) 6258 3425,028 62583426,http://sc5.vn,,,,
SCD,HOSE,19.5000,0,85339%,26.00,19.30,0.32,60.9,69%,139%,1.02,8455280,8477640,22360,4165000,165313980,207449,0,193211,195800,389011,CTCP Nước giải khát Chương Dương,Chuong Duong Beverages Joint Stock Company,606 Võ Văn Kiệt - P.Cầu Kho - Q.1 - Tp.HCM,(84.28) 3836 7518 - 3836 8747,028 836.71.76,http://www.cdbeco.com.vn,,,,
SCR,HOSE,9.6400,0,72210%,12.15,4.60,0.45,21.4,147%,338%,1.62,366356303,366356303,0,106363875,3531674887,837282,165380,4891425,6396488,11287913,CTCP Địa ốc Sài Gòn Thương Tín,Sai Gon Thuong Tin Real Estate JSC,Số 253 Hoàng Văn Thụ - P. 2 - Q. Tân Bình - Tp. Hồ Chí Minh,(84.28) 3824 9988 - 3824 9966,028 3824 9977,https://ttcland.vn/vi/,,,,
SCS,HOSE,134.9000,0,593750%,139.00,100.90,9.46,14.3,3874%,4164%,0.68,50745700,50745700,0,0,6845594620,705298,0,1153035,86525,1239560,CTCP Dịch vụ Hàng hóa Sài Gòn,SCSC Cargo Service Corporation,30 Phan Thúc Duyện – P. 4 – Q. Tân Bình - Tp. Hồ Chí Minh,(84.28) 3997 6930,028 3997 6840,http://www.scsc.vn,,,,
SFC,HOSE,21.6000,0,139355%,27.85,19.01,2.11,10.2,710%,1364%,0.60,11178179,11234819,56640,5532814,242672095,742780,0,173252,159866,333119,CTCP Nhiên liệu Sài Gòn,SaiGon Fuel Joint Stock Company,146E Nguyễn Đình Chính - P.8 - Q.Phú Nhuận - Tp.Hồ Chí Minh,(84.28) 3997 9292,+84-(0)83-997.95.55,http://www.sfc.com.vn,,,,
SFG,HOSE,9.3500,0,79710%,10.90,5.29,0.23,40.7,92%,195%,1.35,47897333,47897333,0,21336219,447840082,1484453,0,561902,632510,1194412,CTCP Phân Bón Miền Nam,The Southern Fretilizee JSC,125B Cách Mạng Tháng 8 - Q.3 - Tp.HCM,(84.28) 3832 5889 - 3839 3931,838322807,http://www.phanbonmiennam.com.vn,,,,
SFI,HOSE,37.5000,0,112816%,40.16,16.43,6.33,5.9,1299%,1904%,1.14,15085305,15085305,0,5308213,565698938,1384695,95448,501374,233449,734823,CTCP Đại lý Vận tải SAFI,Sea & Air Freight International,209 Nguyễn Văn Thủ - P.Đa Kao - Q.1 - Tp.HCM,(84.28) 3825 3560,028 38226283,http://www.safi.com.vn,,,,
SGN,HOSE,68.0000,0,248720%,71.71,60.73,1549.00,0.0,4%,5%,0.49,33581691,33581691,0,5801414,2283554988,571967,52015,917991,138392,1056383,CTCP Phục vụ Mặt đất Sài Gòn,Saigon Ground Services JSC,Số 58 Trường Sơn - P. 2 - Q. Tân Bình - Tp. HCM,(84­.28) 3848 5383,028 3547 0999,http://www.sags.vn,,,,
SGR,HOSE,21.0000,0,130112%,44.20,15.60,1.52,13.8,358%,944%,1.72,45539918,45539918,0,6468000,956338278,74510,69420,735119,1203104,1938223,CTCP Địa ốc Sài Gòn,Saigon Reai Estate Joint Stock Company,Cao ốc 63-65 Điện Biên Phủ - P.15 - Q.Bình Thạnh - Tp.HCM,(84.28) 3840 5549,8405553,http://www.saigonres.com.vn,,,,
SGT,HOSE,18.2000,0,136842%,24.40,4.70,0.27,67.4,54%,205%,1.71,74001294,74001604,310,36260937,1346829249,464843,20164,984328,2764665,3748994,CTCP Công nghệ Viễn Thông Sài Gòn,Sai Gon Telecommunication & Technologies Corporation,Lô 46 - Công viên Phần mềm Quang Trung - Q.12 - Tp.HCM,(84.28) 3715 9909,028 54.37.10.74,http://saigontel.com,,,,
SHA,HOSE,5.6800,0,46711%,7.80,3.79,0.80,7.1,292%,660%,1.06,31853976,31853976,0,8820000,180930578,956362,0,387430,486875,874304,CTCP Sơn Hà Sài Gòn,Son Ha Sai Gon Joint Stock Company,Số 292/5 Ấp Tam Đông 2 - X.Thới Tam Thôn - H.Hóc Môn - Tp.HCM,(84.28) 3710 0101,+84 86 25 11 989,http://www.sonhasg.com.vn,,,,
SHI,HOSE,18.6000,0,123097%,30.00,7.83,0.85,21.9,174%,563%,1.17,89993807,90709867,716060,26808254,1687203561,6092792,76618,1359916,3042928,4402844,CTCP Quốc tế Sơn Hà,Son Ha International JSC,Lô CN 1 Cụm CN Từ Liêm - P. Minh Khai - Q. Bắc Từ Liêm - Tp. Hà Nội,(84.24) 6265 6566,024 62.65.65.88,http://www.sonha.com.vn,,,,
SHP,HOSE,21.2000,0,2141414%,23.70,19.25,0.00,0.0,-23%,-38%,0.63,1125323814,1125323814,0,45917998,23856865715,416901,0,1116639,675944,1792584,CTCP Thủy điện Miền Nam,Southern Hydropower JSC,P.106 lầu 1 - Tòa nhà Citilight - 45 Võ Thị Sáu - P.ĐaKao - Q.1- Tp.HCM,(84.28) 3820 7795,028 3820.7794,http://shp.vn,,,,
SII,HOSE,18.4000,0,82474%,21.00,14.25,-1.75,-10.5,-467%,-782%,0.69,64522104,64522104,0,25466831,1187206689,197208,-112627,1439558,970416,2409974,CTCP Hạ tầng Nước Sài Gòn,Sai Gon Water Infrastructure Corporation,Tầng 5 - Số 70 Lữ Gia - P. 15 - Q. 11 - Tp. HCM,(84.28) 6291 8483,028 62918489,http://saigonwater.com.vn/,,,,
SJD,HOSE,17.1000,0,131034%,18.68,15.93,1.57,10.9,839%,1201%,0.36,68998620,68998620,0,22539583,1179876428,321487,108084,900262,387775,1288038,CTCP Thủy điện Cần Đơn,Candon HydroPower Joint Stock Company,Ấp Thanh Thủy - TT. Thanh Bình - H. Bù Đốp - T. Bình Phước,(84.271) 356 3359,+84-(0)651-356.31.33,http://www.candon.com.vn,,,,
SJF,HOSE,3.1100,0,29647%,4.90,1.52,-0.32,-9.7,-217%,-304%,1.92,79200000,79200000,0,0,246311992,215029,-25234,831159,333577,1164737,CTCP Đầu tư Sao Thái Dương,Sunstar Investment Joint Stock Company,Tầng 8 - Tòa SIMCO Sông Đà - Tiểu khu ĐTM Vạn Phúc - P. Vạn Phúc - Q. Hà Đông - Hà Nội,(84.43) 398 2626,04 3398 2626,www.stdgroup.vn,,,,
SJS,HOSE,62.5000,0,323834%,61.80,18.90,0.46,135.9,74%,238%,1.40,112939420,113897480,958060,49000000,7118592500,1253463,51824,2180192,4829367,7009560,CTCP Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Song Da Urban & Industrial Zone Investment & Development JSC,Tòa Nhà Sudico - Đường Mễ Trì - P. Mỹ Đình 1 - Q. Nam Từ Liêm - Tp.Hà Nội,(84.24) 3768 4502 - 3768 4504 - 3768 4505,024 768.40.29,http://sudicosd.com/,,,,
SKG,HOSE,10.6000,0,76479%,13.62,7.19,0.35,30.3,247%,252%,1.23,63331735,63331735,0,16792908,671316415,294902,0,877967,14692,892660,CTCP Tàu cao tốc Superdong - Kiên Giang,Superdong Fast Ferry Kieng Giang JSC,Số 10 đường 30/4 - Khu phố 2 - TT. Dương Đông - H. Phú Quốc - T. Kiên Giang,(84.297) 398 0111,297.384618,http://superdong.com.vn,,,,
SMA,HOSE,9.9000,0,116334%,12.15,7.37,-1.87,-5.3,-893%,-2195%,1.25,20352836,20352836,0,7898800,201493069,69797,0,173123,252496,425619,CTCP Thiết bị Phụ tùng Sài Gòn,Sai Gon Machinery Spare Parts JSC,352 Trường Sa - P. 02 - Q. Phú Nhuân - Tp. HCM,(84.28) 3510 7888,028 35.51.24.27,http://saigonmachinco.com.vn,,,,
SMB,HOSE,41.7000,0,238695%,45.40,27.40,5.63,7.4,2129%,3224%,0.51,29846648,29846648,0,13003157,1244605244,1242581,0,521509,268393,789903,CTCP Bia Sài Gòn - Miền Trung,Sai Gon - Mien Trung Beer JSC,01 Nguyễn Văn Linh - P. Tân An - Tp. Buôn Ma Thuột - T. ĐakLak,(84.262) 387 7519,+84-(0)500.3877455,http://biasaigonmt.com,,,,
SMC,HOSE,40.7000,0,136623%,42.80,9.15,8.14,5.0,624%,2731%,1.64,60981255,60987973,6718,14463996,2482210548,17316477,496110,1816875,6134711,7951586,CTCP Đầu tư Thương mại SMC,SMC Trading Investment Joint Stock Company,Số 396 Ung Văn Khiêm - P. 25 - Q. Bình Thạnh - Tp. HCM,(84.28) 3899 2299 - 3899 6067,028 38.98.09.09,http://smc.vn/,,,,
SPM,HOSE,13.1000,0.1,23104%,14.00,11.50,0.59,22.2,77%,105%,0.52,13540000,13770000,230000,6860000,180387005,722880,0,767654,279851,1047506,CTCP SPM,SPM Joint Stock Company,Lô 51 - Đường số 2 - KCN Tân Tạo - P.Tân Tạo A - Q.Bình Tân - Tp.HCM,(84.28) 3750 7496,028 3877 1010,http://www.spm.com.vn,,,,
SRC,HOSE,17.3000,0,110755%,24.80,14.00,2.74,6.3,536%,1757%,1.14,28065765,28065765,0,9823233,485537713,1438504,0,438336,998468,1436803,CTCP Cao su Sao Vàng,Sao Vang Rubber Joint Stock Company,Số 231 - Nguyễn Trãi - Tp.Hà Nội,(84.24) 3858 3656,024 38.58.36.44,http://www.src.com.vn,,,,
SRF,HOSE,12.7000,0,94284%,14.90,12.30,0.88,14.4,187%,656%,0.79,40620369,40620369,0,11943708,515878679,1396201,35900,547316,1370524,1917839,CTCP Kỹ nghệ Lạnh,Seaprodex Refrigeration Industry Corporation,Lầu 14, 72-74 Nguyễn Thị Minh Khai - P. 6 - Q. 3 - Tp. Hồ Chí Minh,(84.28) 3822 7260,838226001,http://www.searefico.com,,,
SSB,HOSE,37.5500,0,319031%,45.50,20.15,1331.00,0.0,1%,11%,1.36,1208744208,1208744208,0,0,45388344088,10917317,1609013,14225440,170095457,184320897,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,,,,,,,,
SSI,HOSE,50.6000,0,301370%,57.90,13.05,2.45,20.7,444%,1461%,1.82,681809122,683818332,2009210,480063684,34601206556,4927303,1671191,11447215,26176083,37623299,CTCP Chứng khoán SSI,SSI Securities Corporation,Số 72 Nguyễn Huệ - P.Bến Nghé - Q1 - Tp.HCM,(84.28) 3824 2897,028 82.42.997,http://www.ssi.com.vn,,,,
ST8,HOSE,10.2000,0,77626%,12.45,9.75,0.42,24.3,241%,323%,1.02,25598902,25659902,61000,9694919,261730996,1116352,10877,336411,114982,451393,CTCP Siêu Thanh,Sieu Thanh Joint Stock Company,A20 Tân Phong - Đường Nguyễn Hữu Thọ - P. Tân Phong - Q. 7 - Tp. HCM,(84.28) 6262 6688,028 6262 6777,http://www.st8.vn,,,,
STB,HOSE,28.7000,0,162698%,33.80,10.10,1.60,17.9,54%,907%,1.66,1685215717,1785215717,100000000,565564714,51235692440,32755802,2697302,29733870,467693809,497427679,Ngân hàng TMCP Sài Gòn Thương Tín,Sai Gon Thuong Tin Commercial Joint Stock Bank,Số 266-268 Nam Kỳ Khởi Nghĩa - P. 8 - Q. 3 - Tp. HCM,(84.28) 3932 0420,028 932.04.24,http://www.sacombank.com.vn,,,,
STG,HOSE,16.7000,0,96198%,19.60,13.80,1.65,10.1,678%,950%,1.05,98253364,98253364,0,13504742,1640831254,2205420,162021,1706029,684585,2390614,CTCP Kho vận Miền Nam,South Logistics Joint Stock Company,1B Hoàng Diệu - P.13 - Q.4 - Tp.HCM,(84.28) 3826 6594,028 38.26.65.93,http://www.sotrans.com.vn,,,,
STK,HOSE,42.1000,0,258282%,39.80,13.11,2283.00,0.0,9%,14%,1.30,70726944,70726944,0,26222851,2977604234,1718425,0,1152908,635407,1788316,CTCP Sợi Thế Kỷ,Century Synthetic Fiber Corporation,Khu B1-1 - KCN Tây Bắc Củ Chi - X. Tân An Hội - H. Củ Chi - Tp. HCM,(84.28) 3790 7565,028 37907566,http://theky.vn/cen/trang-chu/,,,,
SVC,HOSE,75.0000,0.1,138658%,84.52,55.54,6118.00,0.0,7%,17%,0.85,33300466,33320532,20066,12247830,2499039900,16520552,203744,1801166,2457006,4258172,CTCP Dịch vụ Tổng hợp Sài Gòn,Saigon General Service Corporation,Số 66B - 68 Nam Kỳ Khởi Nghĩa - P.Nguyễn Thái Bình - Q.1 - Tp.HCM,(84.28) 3821 3913,028 38213553,http://www.savico.com.vn,,,,
SVD,HOSE,7.6400,0,66959%,16.50,7.62,0.38,20.1,122%,334%,0.64,12900000,12900000,0,0,98555998,316832,0,147135,255346,402481,Công ty Cổ phần Đầu tư và Thương mại Vũ Đăng,Công ty Cổ phần Đầu tư và Thương mại Vũ Đăng,,,,,,,,
SVI,HOSE,74.0000,0,161502%,107.00,57.00,10.39,7.1,1104%,2268%,1.09,12783837,12808137,24300,6287894,947802138,1769734,0,585749,618029,1203778,CTCP Bao bì Biên Hòa,Bien Hoa Packaging Company,Đường số 7 - KCN Biên Hòa 1 - T.Đồng Nai,(84.251) 383 6121,613832939,http://www.sovi.com.vn,,,,
SVT,HOSE,15.1000,0,98052%,18.50,12.40,3.05,5.0,1775%,1980%,1.27,11579574,11579574,0,5158199,174851572,122677,0,178298,20227,198960,CTCP Công nghệ Sài Gòn Viễn Đông,Sai Gon Vien DongTechnology ,. JSC,102A Phó Cơ Điều - P.4 - Q.11 - Tp.HCM,(84.28) 3956 0169,(028) 39560893,http://savitechco.com.vn,,,
SZC,HOSE,38.8000,0,288690%,43.40,20.84,2.12,18.3,414%,1577%,1.49,100000000,100000000,0,0,3879999924,490502,0,1343785,3773749,5117534,CTCP Sonadezi Châu Đức,SONADEZI Chau Duc Shareholding Company,Tầng 9 - Cao Ốc Sonadezi - Số 1 - Đường 1 - KCN Biên Hòa 1 - P. An Bình - Tp. Biên Hòa - T. Đồng Nai,(84.251) 886 0788,,http://www.sonadezichauduc.com.vn,,,,
SZL,HOSE,50.2000,0,143347%,58.80,38.05,6.13,8.2,598%,1749%,0.82,16381800,18190900,1809100,9800000,913183194,365513,0,573765,1103621,1677386,CTCP Sonadezi Long Thành,Sonadezi Long Thanh,KCN Long Thành - X.Tam An - H.Long Thành - T.Đồng Nai,(84.251) 351 4494 - 351 4496,0251.3514 499,http://www.szl.com.vn,,,,
TAC,HOSE,57.5000,0,370490%,65.20,25.77,6.62,8.7,1249%,4266%,1.33,33879648,33879648,0,9300298,1948079760,5900496,0,525889,1270656,1796544,CTCP Dầu thực vật Tường An,TuongAn Vegetable Oil Joint Stock Company,Lầu 10 - Tòa nhà Empress Tower - Số 138-142 - Đường Hai Bà Trưng - P. Đa Kao - Q. 1 - Tp. Hồ Chí Minh,(84.28) 3827 7805,028 38153649,http://www.tuongan.com.vn,,,,
TBC,HOSE,27.5000,0,152608%,28.65,21.33,3.66,7.5,1444%,2029%,0.55,63500000,63500000,0,31115000,1746250000,602009,232104,1144149,463717,1607866,CTCP Thủy điện Thác Bà,Thac Ba Hydropower Joint Stock Company,Tổ dân phố 1, TT. Thác Bà - H. Yên Bình - T. Yên Bái,(84.216) 388 4116 - (84.21) 6388 4116,29.3884167,http://www.thacba.vn,,,
TCB,HOSE,49.5000,0,219027%,58.00,18.15,4.08,12.1,308%,1804%,1.50,3500139962,3500139962,0,0,173256928119,30161884,14480914,79092765,383729925,462822690,Ngân hàng TMCP Kỹ thương Việt Nam,Vietnam Technological and Commercial Joint Stock Bank,191 Bà Triệu - P.Lê Đại Hành - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 3944 6368,2439446362,http://www.techcombank.com.vn,,,,
TCD,HOSE,12.3000,0,54570%,15.93,6.58,3.71,3.3,258%,1636%,1.17,47294317,47294317,0,0,581720108,3184622,174317,1065831,5693664,6759495,CTCP Đầu tư Phát triển Công nghiệp và Vận tải,Transport and Industry Development Investment JSC,Số 89 Cách Mạng Tháng 8 - P. Bến Thành - Q. 1 - Tp. Hồ Chí Minh,(84.28) 3833 0314 - 3833 0315,84838330317,http://www.tracodi.com.vn,,,,
TCH,HOSE,18.5000,0,75789%,26.40,17.56,2.50,7.4,874%,1022%,1.61,362994014,362994014,0,0,6715389259,4423314,897227,8859986,1509652,10369638,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,Hoang Huy Investment Financial Services JSC,Số 116 Nguyễn Đức Cảnh - P. Cát Dài - Q. Lê Chân - TP. Hải Phòng,(84.225) 361 0021,(84-31)3610022,www.hoanghuy.vn,,,,
TCL,HOSE,31.8500,0,146774%,36.64,19.14,3244.00,0.0,10%,15%,1.04,30158436,30158436,0,10262507,960546198,1117188,97849,654483,323990,978472,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Tan Cang Logistics & Stevedoring Joint Stock Company,470 Đồng Văn Cống - P. Thạnh Mỹ Lợi - Q. 2 Tp. HCM,(84.28) 7307 3979,837423206,http://tancanglogistics.com/Pages/default.aspx,,,,
TCM,HOSE,78.9000,0,292547%,104.35,16.29,4.91,16.1,988%,1819%,1.29,61867449,61967899,100450,24107975,4889267326,3625865,303514,1668431,1402131,3070563,CTCP Dệt may - Đầu tư - Thương mại Thành Công,Thanh Cong Textile Garment Investment Trading Joint Stock Company,Số 36 - Tây Thạnh - P. Tây Thạnh - Q. Tân Phú - Tp. HCM,(84.28) 3815 3962,38 152 757,http://www.thanhcong.com.vn,,,,
TCO,HOSE,17.9000,0,181542%,16.75,7.64,0.97,18.5,800%,980%,1.26,18711000,18711000,0,9168390,334926893,175002,18074,184442,21601,225873,CTCP Vận tải Đa phương thức Duyên Hải,Duyen Hai Multi Modal Transport JSC,189 Đình Vũ - P.Đông Hải 2 - Q.Hải An - Tp.Hải Phòng,(84.225) 397 8895,+84-(0)31-397.88.95,http://www.tasaduyenhai.com,,,,
TCR,HOSE,3.9000,0,39434%,5.51,2.71,-0.43,-9.1,-231%,-438%,1.45,45425142,10373190,0,4983263,40455442,937257,-19679,449394,403710,853104,CTCP Công nghiệp Gốm sứ Taicera,Taicera Enterprise Company,KCN Gò Dầu - X.Phước Thái - H.Long Thành - T.Đồng Nai,(84.251) 384 1594,+84-(0)61-384.15.98,http://www.taicera.com,,,,
TCT,HOSE,26.0500,0,105894%,33.90,22.00,0.22,118.4,81%,89%,0.84,12788000,12788000,0,6266120,333127390,40156,0,314595,28909,343504,CTCP Cáp treo Núi Bà Tây Ninh,Tay Ninh Cable Car Tour Company,Núi Bà Đen - Kp.Ninh Phú - P.Ninh Sơn - Tp.Tây Ninh - T.Tây Ninh,(84.276) 362 4022 - 382 3448 - 382 3448,0663.823448,http://www.catour.com.vn,,,,
TDC,HOSE,17.4000,0,134259%,22.46,6.42,1873.00,0.0,3%,15%,1.49,100000000,100000000,0,49000000,1739999962,1667605,187279,1296476,4356382,5652859,CTCP Kinh doanh và Phát triển Bình Dương,Binh Duong Trade And Development JSC,26-27 Lô I - Đường Đồng Khởi - P.Hòa Phú - Tp.Thủ Dầu Một - T.Bình Dương,(84.274) 222 0666,+84-(0)650-2220678,http://www.becamextdc.com.vn,,,,
TDG,HOSE,3.8400,0,32405%,5.09,1.54,0.19,20.2,78%,161%,1.79,16770000,16770000,0,0,64396799,785409,0,198703,213767,412470,CTCP Dầu khí Thái Dương,ThaiDuong Petrol Joint Sotck Company,Lô D1 - KCN Đình Trám - X. Hoàng Ninh - H. Việt Yên - T. Bắc Giang,(84.204) 224 4900,0240 3661 311,http://thaiduongpetrol.vn/,,,,
TDH,HOSE,6.3500,0,32006%,11.35,6.09,0.04,158.8,10%,21%,1.38,112292647,112472707,180060,34784306,714201679,1704364,4602,2227640,2538924,4766564,CTCP Phát triển Nhà Thủ Đức,Thu Duc Housing Development Corporation,3-5 Pasteur - P.Nguyễn Thái Bình - Q.1 - Tp.HCM,(84.28) 3914 3111,(84.8)39143222,http://www.thuduchouse.com,,,,
TDM,HOSE,29.9000,0,170176%,30.50,21.37,2.61,11.5,1071%,1486%,0.87,100000000,100000000,0,14700000,2989999962,395580,0,1756763,681291,2438054,CTCP Nước Thủ Dầu Một,Thu Dau Mot Water Joint Stock Company,Số 11B - Đường Ngô Văn Trị - P. Phú Lợi - Tp. Thủ Dầu Một - T. Bình Dương,(84.274) 384 2255 - 384 2277,0274.3841838,http://tdmwater.vn,,,,
TDP,HOSE,27.9000,0,226829%,38.70,16.25,1.69,16.5,443%,1371%,0.90,53759837,53759837,0,0,1499899432,1535979,0,661081,1385001,2046082,CTCP Thuận Đức,Thuan Duc Joint Stock Company,Thôn Bằng Ngang - Thị trấn Lương Bằng - H. Kim Động - T. Hưng Yên,(84.221) 381 0705,,https://thuanducjsc.vn/,,,,
TDW,HOSE,31.9000,0,150472%,37.59,19.76,4.32,7.4,787%,2035%,1.20,8500000,8500000,0,4165000,271149997,1028430,0,180220,286120,466340,CTCP Cấp nước Thủ Đức,Thu Duc Water Supply Joint Stock Company,Số 8 Khổng Tử - P.Bình Thọ - Q.Thủ Đức - Tp.HCM,(84.28) 3896 0240,+84-(8)-38.96.02.41,http://www.capnuocthuduc.vn,,,,
TEG,HOSE,14.0000,0,100865%,17.40,4.35,0.08,175.0,48%,61%,1.39,32383642,32383642,0,7350000,453370988,230846,2751,449615,125727,575342,CTCP Năng lượng và Bất động sản Trường Thành,Truong Thanh Energy and Real Estate JSC,Số 14 - 16 - Phố Hàm Long - P. Phan Chu Trinh - Q. Hoàn Kiếm - Tp. Hà Nội,04. 6329 5856,2438398974,http://tecgroup.com.vn/,,,,
TGG,HOSE,12.3000,0,139298%,13.20,0.90,-0.18,-68.3,-190%,-203%,2.08,27299990,27299990,0,0,335789882,8144,0,241076,15829,256905,CTCP Xây dựng và Đầu tư Trường Giang,Truong Giang Investment And Construction Joint Stock Company,Tầng 5 - Tòa nhà SME Hoàng Gia - Đường Tô Hiệu - P. Quang Trung - Q. Hà Đông - Hà Nội,024.66625372,024 66625372,http://truonggiangjsc.com.vn/,,,,
THG,HOSE,68.9000,0,217694%,75.24,38.91,11103.00,0.0,13%,35%,0.60,15971516,14519560,0,4900000,1000397706,1808637,177339,505463,898470,1403933,CTCP Đầu tư và Xây dựng Tiền Giang,Tien Giang Investment And Construction JSC,Số 46-48 Nguyễn Công Bình - X. Trung An - Tp. Mỹ Tho - Tỉnh Tiền Giang,(84.273) 387 2878 - 387 2984,2733850597,http://ticco.com.vn/,,,,
TIP,HOSE,37.4500,0,228076%,56.90,17.44,4.05,9.2,1591%,2468%,1.33,39004715,39004715,0,12741540,1460726607,326810,158033,640412,352960,993372,CTCP Phát triển Khu Công nghiệp Tín Nghĩa,Tin Nghia Industrial Park Development Joint Stock Company,KCN Tam Phước - Đường số 6 - Xã Tam Phước - Tp.Biên Hòa - T.Đồng Nai,(84.251) 351 2478,(061) 3 512 479,http://www.tinnghiaip.com.vn,,,,
TIX,HOSE,31.2000,0,118137%,35.50,24.94,3.34,9.3,858%,1263%,0.55,28492000,29246000,754000,11760000,912475222,186203,0,752507,355111,1107618,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Tan Binh Import Export Joint Stock Corporation,325 Lý Thường Kiệt - P. 9 - Q. Tân Bình - Tp. Hồ Chí Minh,(84.28) 3868 6377 - 3868 6378,(84-8) 38636584,http://www.tanimex.com.vn,,,,
TLD,HOSE,5.3000,0,47920%,16.67,4.96,0.41,12.9,267%,372%,1.77,39956372,39956372,0,0,211768779,319656,1382,441761,172680,614441,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Thang Long Urban Development And Construction Investment JSC,ThônTrung - X. Liên Trung - H. Đan Phượng -Tp. Hà Nội,024 3363 1063,024 3373 3333,http://thanglongdeco.com,,,,
TLG,HOSE,37.7500,0,162505%,42.20,31.78,4.43,8.5,1468%,1908%,0.87,77794454,77794454,0,18773209,2936740638,2950466,0,1806962,541289,2348251,CTCP Tập đoàn Thiên Long,Thien Long Group Corporation,Lô 6-8-10-12 Đường số 3 - KCN Tân Tạo - P. Tân Tạo A - Q. Bình Tân - Tp. Hồ Chí Minh,(84.28) 3750 5555,028 37.50.55.77,http://www.thienlonggroup.com,,,,
TLH,HOSE,14.2500,0,88345%,20.25,2.86,1.90,7.5,516%,1177%,1.70,99190621,100650621,1460000,41476326,1434271349,4121880,188320,1600151,2048296,3648447,CTCP Tập đoàn Thép Tiến Lên,Tien Len Steel Group Joint Stock Company,G4A Khu phố 4 - P. Tân Hiệp - Tp. Biên Hòa - T. Đồng Nai,(84.251) 382 3187,+84-(0)61-382.90.43,http://www.tienlengroup.com.vn,,,,
TMP,HOSE,41.0000,0,188073%,47.00,30.22,3.04,13.5,1034%,1394%,0.44,70000000,70000000,0,34300000,2870000000,505469,212689,1525887,531907,2057794,CTCP Thủy điện Thác Mơ,Thac Mo Hydro Power Joint Stock Company,Khu 05 - P. Thác Mơ - Tx. Phước Long - T. Bình Phước,(84.271) 321 6308,6513778268,http://www.tmhpp.com.vn,,,,
TMS,HOSE,56.1000,0,201220%,59.80,21.75,4.40,12.7,853%,1579%,1.22,81442936,81442936,0,14994045,4568948585,4011338,358507,2270230,1932889,4203119,CTCP Transimex,Transimex Corporation,Tầng 9-10 TMS Building - Số 172 Hai Bà Trưng - P.Đa Kao - Q.1 - Tp.HCM,(84.28) 2220 2888,028 22.20.28.89,http://transimex.com.vn/,,,,
TMT,HOSE,8.8000,0,75536%,11.80,4.64,0.23,38.3,51%,202%,1.45,36468280,36877980,409700,16628348,324526231,1915045,7715,425011,1251534,1676545,CTCP Ô tô TMT,TMT Motors Corporation,Tầng 9+10 tòa nhà Coninco số 4 Tôn Thất Tùng - P. Trung Tự - Q. Đống Đa - Tp. Hà Nội,(84.24) 3862 8205 - 3633 3322,024 38.62.87.03,http://www.tmt-vietnam.com.vn,,,,
TN1,HOSE,42.9500,0,123313%,89.23,37.39,5837.00,0.0,6%,17%,1.32,19136023,17555984,0,0,754029526,621365,111690,666448,1185710,1852158,CTCP Thương mại Dịch vụ TNS Holdings,TNS Holdings Joint Stock Company,Tầng 25 - Tòa tháp A - 54A - Đường Nguyễn Chí Thanh - P. Láng Thượng - Q. Đống Đa - Tp. Hà Nội,8424 7307 3099,,https://www.tnsholdings.vn/,,,,
TNA,HOSE,11.5500,0,80996%,16.50,10.90,0.80,14.4,139%,562%,1.18,39730884,39730884,0,4951340,458891718,5243974,31838,566455,1727627,2297415,CTCP Thương mại Xuất nhập khẩu Thiên Nam,Thien Nam Trading Import Export JSC,111-121 (Tầng 11-12) Ngô Gia Tự - P.2 - Q.10 - Tp.HCM,(84.28) 3834 8980,028 3834.89.83,http://www.tna.com.vn,,,,
TNC,HOSE,23.5000,0,128697%,38.00,19.10,1.89,12.4,933%,1033%,1.20,19250000,19250000,0,9432500,452375000,56325,0,351576,37730,389307,CTCP Cao su Thống Nhất,Thong Nhat Rubber Joint Stock Company,Số 256 Đường 27/04 - P.Phước Hưng - TX.Bà Rịa - T.Bà Rịa Vũng Tàu,(84.254) 382 3119 - 382 3124,+84-(0)64-382.31.20,http://trc.com.vn/,,,,
TNH,HOSE,26.7000,0,169739%,35.60,24.60,2.65,10.1,923%,1687%,1.00,41500000,41500000,0,0,1108050032,357221,0,652743,540304,1193048,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,,,,,,,,
